norad_id,name,object_type,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
10000,OBJECT_0,PAYLOAD,GEO,LEO,High,73.7,0.02557,1969,6850,Short,15.93,2026-01-01,ISRO,2026-03-28,USA,2026-03-28
10001,OBJECT_1,ROCKET_BODY,GEO,GEO,Moderate,28.39,0.03646,2000,1059,Very Long,0.69,2026-01-02,ESA,2026-03-28,CHN,2026-03-28
10002,OBJECT_2,DEBRIS,GEO,GEO,Low,58.02,0.08437,1962,11731,Moderate,10.2,2026-01-03,ISRO,2026-03-28,IND,2026-03-28
10003,OBJECT_3,DEBRIS,GEO,GEO,Moderate,51.5,0.01949,2018,18707,Long,8.77,2026-01-04,ISRO,2026-03-28,USA,2026-03-28
10004,OBJECT_4,PAYLOAD,GEO,GEO,Low,8.99,0.08269,2011,17333,Moderate,14.91,2026-01-05,ISRO,2026-03-28,IND,2026-03-28
10005,OBJECT_5,PAYLOAD,GEO,MEO,High,12.74,0.05627,1993,4360,Short,1.89,2026-01-06,ISRO,2026-03-28,RUS,2026-03-28
10006,OBJECT_6,PAYLOAD,MEO,MEO,High,100.5,0.07622,2008,12810,Very Long,11.75,2026-01-07,ESA,2026-03-28,CHN,2026-03-28
10007,OBJECT_7,DEBRIS,GEO,MEO,High,28.78,0.07136,1987,5661,Long,11.72,2026-01-08,ISRO,2026-03-28,RUS,2026-03-28
10008,OBJECT_8,DEBRIS,GEO,GEO,High,23.39,0.02075,1972,7255,Moderate,11.54,2026-01-09,ESA,2026-03-28,EU,2026-03-28
10009,OBJECT_9,DEBRIS,GEO,MEO,High,60.59,0.05688,2020,12823,Long,16.05,2026-01-10,NASA,2026-03-28,CHN,2026-03-28
10010,OBJECT_10,PAYLOAD,GEO,MEO,Low,92.25,0.08677,2019,2094,Moderate,14.08,2026-01-11,CNSA,2026-03-28,RUS,2026-03-28
10011,OBJECT_11,ROCKET_BODY,GEO,LEO,Low,7.43,0.04321,1983,11731,Moderate,1.19,2026-01-12,NASA,2026-03-28,CHN,2026-03-28
10012,OBJECT_12,DEBRIS,GEO,LEO,High,69.22,0.09666,2022,17948,Short,8.27,2026-01-13,ISRO,2026-03-28,USA,2026-03-28
10013,OBJECT_13,PAYLOAD,GEO,MEO,Moderate,14.31,0.04522,2020,8218,Short,7.07,2026-01-14,CNSA,2026-03-28,CHN,2026-03-28
10014,OBJECT_14,PAYLOAD,GEO,LEO,Moderate,4.38,0.01428,1982,16559,Moderate,5.62,2026-01-15,ISRO,2026-03-28,CHN,2026-03-28
10015,OBJECT_15,PAYLOAD,GEO,LEO,High,6.33,0.03894,1989,17719,Very Long,7.95,2026-01-16,ISRO,2026-03-28,USA,2026-03-28
10016,OBJECT_16,PAYLOAD,GEO,MEO,Low,100.1,0.09517,2019,16706,Long,6.84,2026-01-17,NASA,2026-03-28,RUS,2026-03-28
10017,OBJECT_17,DEBRIS,GEO,MEO,Moderate,14.16,0.03197,1977,12343,Long,7.63,2026-01-18,ISRO,2026-03-28,CHN,2026-03-28
10018,OBJECT_18,PAYLOAD,GEO,MEO,Moderate,5.42,0.08681,2015,12240,Short,16.66,2026-01-19,NASA,2026-03-28,IND,2026-03-28
10019,OBJECT_19,PAYLOAD,GEO,MEO,Moderate,52.55,0.08813,2012,13855,Very Long,1.96,2026-01-20,ISRO,2026-03-28,CHN,2026-03-28
10020,OBJECT_20,DEBRIS,GEO,GEO,High,101.28,0.03502,1966,13898,Moderate,15.72,2026-01-21,ESA,2026-03-28,RUS,2026-03-28
10021,OBJECT_21,PAYLOAD,GEO,GEO,Moderate,31.49,0.00833,2011,11420,Short,8.42,2026-01-22,CNSA,2026-03-28,USA,2026-03-28
