norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,976.1442648195025,Low LEO,LEO-Polar,LOW,90.2207,0.00278866,2024,0,<1yr,13.76551325,2026-04-18 15:47:06.762624,celestrak,2026-04-18,US,2026-04-18
902,CALSPHERE 2,PAYLOAD,Other,1061.6252729778062,Mid LEO,LEO-Polar,LOW,90.2331,0.00200542,2024,0,<1yr,13.52895257,2026-04-18 15:57:20.003040,celestrak,2026-04-18,US,2026-04-18
1361,LCS 1,PAYLOAD,Other,2787.8708971271835,High LEO,MEO,LOW,32.1453,0.00133105,2024,0,<1yr,9.89310051,2026-04-18 07:00:17.233632,celestrak,2026-04-18,US,2026-04-18
1512,TEMPSAT 1,PAYLOAD,Other,1133.2479883280366,Mid LEO,LEO-Polar,HIGH,90.0003,0.00711722,2024,0,<1yr,13.33591225,2026-04-18 13:17:06.803808,celestrak,2026-04-18,US,2026-04-18
1520,CALSPHERE 4A,PAYLOAD,Other,1123.2176352404367,Mid LEO,LEO-Polar,HIGH,89.897,0.00675903,2024,0,<1yr,13.36266914,2026-04-18 11:29:53.066688,celestrak,2026-04-18,US,2026-04-18
2826,OPS 5712 (P/L 160),PAYLOAD,Other,639.0704603014465,Low LEO,LEO-Inclined,MEDIUM,69.917,0.00021937,2024,0,<1yr,14.76917673,2026-04-18 14:22:22.563264,celestrak,2026-04-18,US,2026-04-18
2866,LES-5,PAYLOAD,Other,33401.06738173074,MEO,MEO,LOW,2.4858,0.00544536,2024,0,<1yr,1.09425521,2026-04-18 13:08:57.220800,celestrak,2026-04-18,US,2026-04-18
2872,SURCAL 159,PAYLOAD,Other,895.2239795013329,Low LEO,LEO-Inclined,MEDIUM,69.972,0.00080854,2024,0,<1yr,13.99587479,2026-04-18 11:34:56.576928,celestrak,2026-04-18,US,2026-04-18
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.8295753410275,Low LEO,LEO-Inclined,LOW,69.9735,0.00100336,2024,0,<1yr,13.96819492,2026-04-18 14:46:49.528128,celestrak,2026-04-18,US,2026-04-18
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36388.5993911663,Beyond GEO,HEO,LOW,0.2652,0.0022694,2024,0,<1yr,0.98162045,2026-04-18 14:35:29.956704,celestrak,2026-04-18,US,2026-04-18
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.7736692226863,Low LEO,LEO-Polar,MEDIUM,87.6262,0.00622191,2024,0,<1yr,14.3780086,2026-04-18 14:52:36.325632,celestrak,2026-04-18,US,2026-04-18
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.0686338507403,Mid LEO,LEO-Polar,LOW,101.994,0.00119001,2024,0,<1yr,12.53697173,2026-04-18 06:48:07.989120,celestrak,2026-04-18,US,2026-04-18
7646,STARLETTE,PAYLOAD,Other,955.5652474420694,Low LEO,LEO-Inclined,LOW,49.8263,0.02056646,2024,0,<1yr,13.82349475,2026-04-18 14:15:12.201408,celestrak,2026-04-18,FR,2026-04-18
8820,LAGEOS 1,PAYLOAD,Other,5893.049308589655,High LEO,MEO,LOW,109.8081,0.00446705,2024,0,<1yr,6.38664736,2026-04-18 09:47:13.698816,celestrak,2026-04-18,US,2026-04-18
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36380.70184823499,Beyond GEO,HEO,LOW,9.4125,0.00043347,2024,0,<1yr,0.98189242,2026-04-18 11:02:46.821696,celestrak,2026-04-18,US,2026-04-18
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.763445135944,MEO,MEO,MEDIUM,25.8982,0.60325086,2024,1,<1yr,2.05870713,2026-04-17 16:03:58.775328,celestrak,2026-04-18,GER,2026-04-18
14781,UOSAT 2 (UO-11),PAYLOAD,Other,595.9466268099868,Low LEO,LEO-Polar,HIGH,97.8011,0.00083771,2024,0,<1yr,14.90637477,2026-04-18 11:33:15.214176,celestrak,2026-04-18,UK,2026-04-18
16908,AJISAI (EGS),PAYLOAD,Other,1487.5179479181024,Mid LEO,LEO-Inclined,LOW,50.0111,0.00114035,2024,0,<1yr,12.44515832,2026-04-18 15:07:46.953984,celestrak,2026-04-18,JPN,2026-04-18
19548,TDRS 3,PAYLOAD,Other,35785.0007639932,GEO,MEO,HIGH,12.6479,0.00409901,2024,0,<1yr,1.00277472,2026-04-18 11:57:56.531808,celestrak,2026-04-18,US,2026-04-18
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.5866833681,MEO,MEO,MEDIUM,64.9128,0.0023364,2024,0,<1yr,2.13155906,2026-04-18 10:14:11.392800,celestrak,2026-04-18,CIS,2026-04-18
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.710817612046,MEO,MEO,MEDIUM,64.9711,0.00205281,2024,0,<1yr,2.13204506,2026-04-18 05:08:49.459776,celestrak,2026-04-18,CIS,2026-04-18
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35788.683315581016,GEO,GEO-Inclined,HIGH,12.4384,0.00077222,2024,0,<1yr,1.00264336,2026-04-18 12:47:44.255904,celestrak,2026-04-18,US,2026-04-18
20442,LUSAT (LO-19),PAYLOAD,Other,778.0458738591806,Low LEO,LEO-Polar,MEDIUM,98.8898,0.0012033,2024,0,<1yr,14.34103899,2026-04-18 07:40:55.276608,celestrak,2026-04-18,ARGN,2026-04-18
20580,HST,PAYLOAD,Other,475.5950861077408,Very Low LEO,LEO-Equatorial,HIGH,28.4727,0.00020236,2024,0,<1yr,15.30072735,2026-04-18 08:17:30.476832,celestrak,2026-04-18,US,2026-04-18
20776,SKYNET 4C,PAYLOAD,Other,35785.967019566095,GEO,MEO,HIGH,13.36,0.00025074,2024,0,<1yr,1.00274025,2026-04-17 19:14:37.203072,celestrak,2026-04-18,UK,2026-04-18
20929,USA 65 (DSP 15),PAYLOAD,Other,36319.98514480191,Beyond GEO,HEO,LOW,14.0416,0.00039699,2024,0,<1yr,0.98398754,2026-04-17 22:27:37.110816,celestrak,2026-04-18,US,2026-04-18
21639,TDRS 5,PAYLOAD,Other,35787.9235272466,GEO,GEO-Inclined,HIGH,14.0795,0.00084089,2024,0,<1yr,1.00267046,2026-04-18 10:37:46.680960,celestrak,2026-04-18,US,2026-04-18
21805,USA 75 (DSP 16),PAYLOAD,Other,36094.41330645783,Beyond GEO,HEO,LOW,14.0361,0.00037397,2024,0,<1yr,0.99183688,2026-04-18 04:57:38.477376,celestrak,2026-04-18,US,2026-04-18
22195,LAGEOS 2,PAYLOAD,Other,5783.749881872164,High LEO,MEO,LOW,52.6645,0.01376732,2024,0,<1yr,6.47293614,2026-04-18 06:44:01.709376,celestrak,2026-04-18,IT,2026-04-18
22314,TDRS 6,PAYLOAD,Other,35785.23818806826,GEO,MEO,HIGH,14.1824,0.00056002,2024,0,<1yr,1.00276625,2026-04-18 07:06:19.799136,celestrak,2026-04-18,US,2026-04-18
22490,SCD 1,PAYLOAD,Other,738.4371826060406,Low LEO,LEO-Equatorial,MEDIUM,24.9686,0.00417116,2024,0,<1yr,14.46093223,2026-04-18 14:25:17.832576,celestrak,2026-04-18,BRAZ,2026-04-18
22787,UFO 2 (USA 95),PAYLOAD,Other,35785.83582757207,GEO,MEO,HIGH,11.8746,0.00091477,2024,0,<1yr,1.00274493,2026-04-17 20:55:57.485568,celestrak,2026-04-18,US,2026-04-18
22824,STELLA,PAYLOAD,Other,800.2041913421508,Low LEO,LEO-Polar,MEDIUM,98.7768,0.00072764,2024,0,<1yr,14.27468774,2026-04-18 15:01:15.390048,celestrak,2026-04-18,FR,2026-04-18
22825,EYESAT A (AO-27),PAYLOAD,Other,788.6382200585422,Low LEO,LEO-Polar,MEDIUM,98.6914,0.00072275,2024,0,<1yr,14.3092571,2026-04-18 03:28:19.208064,celestrak,2026-04-18,US,2026-04-18
22826,ITAMSAT (IO-26),PAYLOAD,Other,787.218414770593,Low LEO,LEO-Polar,MEDIUM,98.6863,0.00077652,2024,0,<1yr,14.31351035,2026-04-18 10:07:01.929504,celestrak,2026-04-18,IT,2026-04-18
22988,USA 99 (MILSTAR-1 1),PAYLOAD,Other,35785.91684131111,GEO,MEO,HIGH,17.5289,0.00032747,2024,0,<1yr,1.00274204,2026-04-18 06:38:03.712704,celestrak,2026-04-18,US,2026-04-18
23439,RADIO ROSTO (RS15),PAYLOAD,Other,2022.3144548402224,High LEO,MEO,LOW,64.8191,0.01541888,2024,0,<1yr,11.27583786,2026-04-18 12:24:21.820608,celestrak,2026-04-18,CIS,2026-04-18
23467,UFO 4 (USA 108),PAYLOAD,Other,35786.5683292631,GEO,GEO-Inclined,HIGH,9.7082,0.00035441,2024,0,<1yr,1.0027188,2026-04-18 14:38:27.536352,celestrak,2026-04-18,US,2026-04-18
23613,TDRS 7,PAYLOAD,Other,35784.186763967,GEO,MEO,HIGH,13.4025,0.00108173,2024,0,<1yr,1.00280376,2026-04-18 04:12:21.776256,celestrak,2026-04-18,US,2026-04-18
23712,USA 115 (MILSTAR-1 2),PAYLOAD,Other,35760.48447963066,GEO,MEO,HIGH,14.0525,8.091e-05,2024,0,<1yr,1.00364997,2026-04-18 08:13:38.661312,celestrak,2026-04-18,US,2026-04-18
23802,POLAR,PAYLOAD,Other,29112.729956339197,MEO,MEO,LOW,79.7926,0.64092534,2024,1,<1yr,1.29845783,2026-04-17 04:32:34.817568,celestrak,2026-04-18,US,2026-04-18
23839,INMARSAT 3-F1,PAYLOAD,Other,35863.61849305486,GEO,GEO-Inclined,HIGH,10.479,0.00043276,2024,0,<1yr,0.99997657,2026-04-18 03:28:52.684608,celestrak,2026-04-18,IM,2026-04-18
23893,USA 119,PAYLOAD,Other,1086.6960312615092,Mid LEO,LEO-Inclined,LOW,63.3218,0.0848251,2024,0,<1yr,13.46085403,2026-04-18 09:17:47.301792,celestrak,2026-04-18,US,2026-04-18
24278,JAS-2 (FO-29),PAYLOAD,Other,1060.2470161256751,Mid LEO,LEO-Polar,LOW,98.5313,0.03488535,2024,0,<1yr,13.53271291,2026-04-18 08:22:15.182976,celestrak,2026-04-18,JPN,2026-04-18
24307,INMARSAT 3-F2,PAYLOAD,Other,35865.53529593321,GEO,GEO-Inclined,HIGH,9.7244,0.00066975,2024,0,<1yr,0.99990851,2026-04-18 13:01:38.696736,celestrak,2026-04-18,IM,2026-04-18
24674,INMARSAT 3-F3,PAYLOAD,Other,35868.04104233583,GEO,GEO-Inclined,HIGH,10.1914,0.00051256,2024,0,<1yr,0.99981955,2026-04-18 07:34:05.839968,celestrak,2026-04-18,IM,2026-04-18
24876,NAVSTAR 43 (USA 132),PAYLOAD,Other,20182.18998214181,MEO,MEO,MEDIUM,55.9621,0.0099508,2024,1,<1yr,2.0056384,2026-04-17 08:59:46.074048,celestrak,2026-04-18,US,2026-04-18
24920,FORTE,PAYLOAD,Other,798.6948590222037,Low LEO,LEO-Inclined,MEDIUM,69.952,0.00221266,2024,0,<1yr,14.27919106,2026-04-18 11:34:39.111168,celestrak,2026-04-18,US,2026-04-18
24936,AMC-3,PAYLOAD,Other,35786.85343324079,GEO,GEO-Inclined,HIGH,8.0005,0.0002973,2024,0,<1yr,1.00270863,2026-04-18 09:54:02.643840,celestrak,2026-04-18,SES,2026-04-18
25019,USA 134,PAYLOAD,Other,35785.95244262747,GEO,MEO,HIGH,12.7147,0.000587,2024,0,<1yr,1.00274077,2026-04-18 09:18:38.594016,celestrak,2026-04-18,US,2026-04-18
25118,ORBCOMM FM06,PAYLOAD,Other,734.121119235766,Low LEO,LEO-Inclined,MEDIUM,45.0152,0.00012814,2024,0,<1yr,14.47409762,2026-04-18 09:27:04.231872,celestrak,2026-04-18,ORB,2026-04-18
25153,INMARSAT 3-F5,PAYLOAD,Other,35785.769671312555,GEO,MEO,HIGH,9.5614,0.00047414,2024,0,<1yr,1.00274729,2026-04-18 07:28:29.666208,celestrak,2026-04-18,IM,2026-04-18
25159,ORBCOMM FM04,PAYLOAD,Other,773.0182405626101,Low LEO,LEO-Retrograde,MEDIUM,107.9611,0.00389295,2024,0,<1yr,14.35616539,2026-04-18 13:00:28.030176,celestrak,2026-04-18,ORB,2026-04-18
25160,CELESTIS-02 & TAURUS R/B,ROCKET BODY,Other,817.0257256259392,Low LEO,LEO-Retrograde,MEDIUM,108.0042,0.00635399,2024,0,<1yr,14.22465793,2026-04-18 04:40:23.441664,celestrak,2026-04-18,US,2026-04-18
25397,TECHSAT 1B (GO-32),PAYLOAD,Other,810.4557497446513,Low LEO,LEO-Polar,MEDIUM,99.006,0.00020347,2024,0,<1yr,14.24416321,2026-04-18 11:57:14.232096,celestrak,2026-04-18,ISRA,2026-04-18
25398,WESTPAC,PAYLOAD,Other,815.0565484049666,Low LEO,LEO-Polar,MEDIUM,99.0114,0.00019962,2024,0,<1yr,14.23049945,2026-04-18 10:23:31.710624,celestrak,2026-04-18,AUS,2026-04-18
25415,ORBCOMM FM19,PAYLOAD,Other,760.5627070740966,Low LEO,LEO-Equatorial,MEDIUM,44.993,0.00028683,2024,0,<1yr,14.39375452,2026-04-18 10:54:22.179168,celestrak,2026-04-18,ORB,2026-04-18
25416,ORBCOMM FM20,PAYLOAD,Other,765.194394795918,Low LEO,LEO-Equatorial,MEDIUM,44.993,0.0001682,2024,0,<1yr,14.37975757,2026-04-18 11:23:53.780064,celestrak,2026-04-18,ORB,2026-04-18
25481,ORBCOMM FM27,PAYLOAD,Other,761.720266586959,Low LEO,LEO-Inclined,MEDIUM,45.0048,7.471e-05,2024,0,<1yr,14.39025425,2026-04-18 03:18:46.254240,celestrak,2026-04-18,ORB,2026-04-18
25504,SCD 2,PAYLOAD,Other,740.3759325509209,Low LEO,LEO-Equatorial,MEDIUM,24.9951,0.00166526,2024,0,<1yr,14.45502491,2026-04-18 07:47:00.485952,celestrak,2026-04-18,BRAZ,2026-04-18
25544,ISS (ZARYA),PAYLOAD,Other,420.1864849055546,Very Low LEO,LEO-Inclined,HIGH,51.6329,0.00065848,2024,0,<1yr,15.48816702,2026-04-18 12:31:51.513600,celestrak,2026-04-18,CIS,2026-04-18
25560,SWAS,PAYLOAD,Other,538.6329198190733,Low LEO,LEO-Inclined,HIGH,69.8979,0.00069839,2024,0,<1yr,15.09203375,2026-04-18 12:07:33.689856,celestrak,2026-04-18,US,2026-04-18
25575,ISS (UNITY),PAYLOAD,Other,420.1864849055546,Very Low LEO,LEO-Inclined,HIGH,51.6329,0.00065848,2024,0,<1yr,15.48816702,2026-04-18 12:31:51.513600,celestrak,2026-04-18,US,2026-04-18
25639,SKYNET 4E,PAYLOAD,Other,36138.21563382071,Beyond GEO,HEO,LOW,11.9991,0.000393,2024,0,<1yr,0.99030452,2026-02-25 04:18:38.724768,celestrak,2026-02-25,UK,2026-02-25
25757,DLR-TUBSAT,PAYLOAD,Other,717.7843889559445,Low LEO,LEO-Polar,MEDIUM,98.6691,0.00144432,2024,0,<1yr,14.52411131,2026-04-18 11:54:39.872448,celestrak,2026-04-18,GER,2026-04-18
25867,CXO,PAYLOAD,Other,74409.58256422315,Beyond GEO,HEO,LOW,55.3045,0.79347912,2024,-3,UNKNOWN,0.3780809,2026-04-21 04:40:50.680128,celestrak,2026-04-18,US,2026-04-18
25924,ABS-6,PAYLOAD,Other,35786.55767650384,GEO,GEO,HIGH,0.0579,0.00029579,2024,0,<1yr,1.00271918,2026-04-18 13:25:38.697024,celestrak,2026-04-18,ABS,2026-04-18
25933,NAVSTAR 46 (USA 145),PAYLOAD,Other,20182.062675172157,MEO,MEO,MEDIUM,51.5188,0.01064766,2024,0,<1yr,2.00565282,2026-04-17 23:10:21.758304,celestrak,2026-04-18,US,2026-04-18
25967,UFO 10 (USA 146),PAYLOAD,Other,35785.84227501801,GEO,MEO,HIGH,9.8559,0.00039131,2024,1,<1yr,1.0027447,2026-04-17 02:54:38.515968,celestrak,2026-04-18,US,2026-04-18
25982,ORBCOMM FM32,PAYLOAD,Other,768.2948505039412,Low LEO,LEO-Inclined,MEDIUM,45.0147,0.00037649,2024,0,<1yr,14.37040067,2026-04-18 05:26:54.580704,celestrak,2026-04-18,ORB,2026-04-18
25989,XMM-NEWTON,PAYLOAD,Other,60562.845840240945,Beyond GEO,HEO,LOW,64.7868,0.46943163,2024,-1,UNKNOWN,0.50126183,2026-04-19 12:13:58.681344,celestrak,2026-04-18,ESA,2026-04-18
25994,TERRA,PAYLOAD,Other,689.769568493547,Low LEO,LEO-Polar,MEDIUM,97.9515,0.00035028,2024,0,<1yr,14.61054991,2026-04-18 14:08:39.015744,celestrak,2026-04-18,US,2026-04-18
