object_id,name,object_type,country,altitude_km,launch_year_estimate,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
1,OBJ-1,UNKNOWN,Other,5723.81,1985,-45.814,-187.956,15.101,-145.761,113.123,7.879,21.453,31.904,-211.367,-61.018,-201.359,-197.015,52.15,-31.543,44.408,149.848,209.594,71.673,-23.66,-95.383,53.94,13.386,10.081,128.773,-41.352,188.314,178.243,129.302,96.877,64.169,-44.977,-25.229,-90.975,106.78,133.149,-101.925,81.544,-17.683,120.35,98.32,93.374,-157.261,32.201,-1.919
2,OBJ-2,FRAGMENT,Russia,6680.3,1957,-35.772,-118.907,-28.327,27.104,-6.653,16.736,174.755,-66.643,-15.226,-109.079,31.337,-10.876,-21.729,-115.336,-79.13,-12.02,-194.883,-91.181,-214.438,-53.376,-131.413,40.348,36.825,-192.221,8.25,55.048,-52.434,-94.463,16.616,-39.74,-77.903,86.099,75.551,-45.827,-132.164,107.346,122.715,-77.975,92.141,-23.545,-51.711,198.462,119.825,-42.145
3,OBJ-3,ROCKET BODY,Europe,31046.4,1991,-39.398,18.481,154.609,-66.9,12.893,152.23,-21.762,-87.613,161.823,41.056,-45.156,64.713,-116.145,48.406,103.931,-157.198,42.43,-78.638,-3.366,-92.459,39.327,-98.858,-29.515,157.645,1.669,193.091,27.463,-12.797,-114.011,-67.704,79.747,-77.623,-45.197,51.043,181.7,22.118,82.053,45.52,-55.971,47.412,123.302,-97.101,-30.015,42.193
4,OBJ-4,FRAGMENT,Europe,34068.78,2015,-41.183,46.042,81.114,-95.751,-94.525,7.673,-16.627,-85.78,32.102,-76.732,-95.604,-101.385,73.051,99.528,75.364,-43.295,3.86,25.789,-135.595,-21.805,74.254,53.302,-31.296,137.447,-180.149,23.811,-102.362,-91.894,-79.893,-17.306,-169.243,40.789,-57.669,31.179,-79.205,43.697,16.237,-152.394,-21.698,48.248,126.099,9.831,-67.916,-8.315
5,OBJ-5,FRAGMENT,Japan,13539.41,2025,-144.456,73.808,-145.28,9.993,-181.403,221.089,109.815,185.793,-66.83,-30.921,-2.977,133.286,-69.341,145.97,1.907,-55.843,-121.144,10.627,-56.009,-199.299,73.074,-229.718,-192.199,30.58,178.892,-12.643,41.551,162.82,60.016,36.7,176.279,81.019,142.419,26.081,-142.688,14.479,-141.024,-106.58,3.523,-26.968,239.82,107.76,-13.991,45.299
6,OBJ-6,DEBRIS,China,9863.49,1989,-166.128,11.089,-139.716,86.575,10.77,35.269,-37.981,115.961,108.187,-43.608,-10.462,-92.332,-86.909,-62.898,132.433,-22.953,-55.093,77.312,-201.43,-80.42,-125.306,-12.773,93.569,89.611,119.756,-43.813,130.004,2.086,145.904,5.83,23.039,7.842,-3.289,-61.59,58.308,-185.351,54.027,112.184,21.36,-145.54,44.454,90.088,2.979,-113.335
7,OBJ-7,ROCKET BODY,UK,23240.94,2007,2.905,46.151,-13.046,-83.599,55.139,-44.726,28.463,57.452,90.722,124.571,107.781,-48.109,14.266,-112.79,-6.786,-118.532,-26.128,-77.668,123.515,62.972,115.43,141.25,25.237,-17.811,92.843,-17.621,124.845,-100.735,-114.289,67.768,184.714,9.895,86.682,118.571,52.551,-105.166,103.006,-109.745,149.432,-35.066,56.03,-87.583,9.942,22.813
8,OBJ-8,ROCKET BODY,USA,14809.03,1968,107.531,90.348,-39.531,127.439,70.269,134.958,101.096,-218.643,127.158,-72.143,9.126,-66.474,-192.866,-41.859,-27.565,-0.882,24.981,-66.056,-146.661,-122.544,42.87,-13.637,151.106,-154.037,128.493,-12.718,4.231,-90.211,21.192,60.698,96.201,-109.795,-195.262,-40.796,54.975,57.358,-150.362,129.754,-6.624,52.827,61.214,238.61,-25.595,-140.302
9,OBJ-9,ROCKET BODY,Japan,1069.85,1976,-53.769,-41.446,-18.319,-98.961,59.478,-7.953,-57.584,57.819,68.39,172.553,-69.28,-170.898,39.088,-69.931,199.81,-32.826,-93.642,-22.07,-194.075,99.951,55.555,-71.906,51.111,23.649,-46.693,-68.567,-51.896,51.405,-55.494,145.142,-134.344,-39.926,-60.984,-41.412,10.059,4.619,51.971,138.294,-52.049,30.245,26.017,52.71,108.582,-78.086
10,OBJ-10,FRAGMENT,India,5756.51,2009,30.344,-60.859,65.116,-24.39,36.816,-239.368,34.046,52.42,88.59,75.23,33.421,-99.313,19.576,43.123,29.574,128.786,42.532,-106.612,-90.822,87.336,-89.57,-6.465,-7.36,-157.092,79.577,-59.064,23.68,-181.851,-82.407,-120.122,7.072,16.219,71.16,-72.016,223.972,-164.57,11.069,140.276,124.19,-195.094,118.003,-4.196,98.531,10.125
11,OBJ-11,UNKNOWN,USA,25820.44,1999,73.426,-16.851,31.574,38.631,-92.379,-0.4,174.555,-127.813,73.111,182.09,-22.965,-71.186,112.182,-140.278,-98.565,-121.024,11.972,-24.248,124.734,95.702,75.709,9.905,-148.601,-1.088,-46.923,60.755,5.111,-17.822,3.5,-155.733,-179.519,-190.157,12.441,-65.978,-134.951,-21.747,-216.437,84.388,121.758,81.136,-8.258,-99.78,108.757,-195.117
12,OBJ-12,ROCKET BODY,France,23775.83,2006,-99.338,19.949,30.563,-38.79,76.748,-24.918,92.132,25.871,-47.75,66.464,-112.548,-13.011,-50.039,-175.44,-85.027,24.567,77.918,-104.977,-44.499,-0.452,-172.391,89.635,-163.376,-123.684,14.8,-48.811,46.114,-85.243,-13.365,-6.777,-90.358,-224.64,-18.387,-23.973,136.159,59.236,43.418,-137.934,90.0,-55.351,55.218,48.139,-98.668,-218.75
13,OBJ-13,FRAGMENT,Germany,1131.12,1985,-1.998,-65.827,144.619,-177.6,-103.562,160.655,28.493,105.149,-163.728,-22.104,-24.855,-300.147,132.483,-34.645,1.896,41.103,-86.236,41.757,-31.126,-9.44,-84.82,12.989,104.835,97.541,-174.223,-170.038,-63.448,-15.964,-202.463,-79.36,-13.681,-15.319,60.398,44.975,-160.89,-125.383,148.298,-153.821,-160.345,57.268,-10.856,150.076,72.465,-115.701
14,OBJ-14,DEBRIS,India,8115.48,2013,-66.652,-39.376,-138.889,92.741,110.706,-89.757,-22.432,56.937,-52.114,-91.737,23.094,71.655,52.964,72.651,-239.8,77.498,-40.933,-93.531,47.845,31.961,126.658,76.203,56.155,38.017,-14.879,-175.125,-40.017,10.125,20.159,87.394,-70.51,37.881,-83.136,78.335,165.19,-39.664,12.949,-111.967,8.079,81.491,-131.117,-28.374,160.577,-93.905
15,OBJ-15,UNKNOWN,India,8441.72,1995,160.612,39.77,10.394,-62.346,-8.398,-33.265,-60.432,-68.017,110.494,-35.541,7.228,70.667,-2.679,-102.746,-63.299,-36.359,144.212,25.289,-15.166,132.027,70.859,9.205,146.54,67.831,-153.026,-209.737,-21.83,-9.845,32.81,-106.783,-47.646,8.811,121.724,12.864,35.261,151.836,-197.689,-95.238,-23.417,47.029,74.437,-175.045,111.941,-83.487
16,OBJ-16,DEBRIS,Japan,24240.64,2012,156.246,15.775,-57.905,74.49,-5.071,126.764,-98.819,1.326,-38.101,148.728,33.031,118.146,181.67,84.911,-10.039,22.08,-90.604,145.662,123.796,122.928,29.151,-74.932,93.125,34.029,-125.414,-141.749,66.646,-26.615,74.732,-54.963,-66.709,-162.117,-21.258,141.627,155.937,58.932,45.873,-130.011,43.65,188.218,-274.982,-70.444,-51.365,-52.422
17,OBJ-17,UNKNOWN,China,866.43,1999,-99.234,-18.534,143.544,-126.414,86.593,39.441,150.962,73.036,-14.546,-4.794,-52.649,-149.166,9.521,36.534,-16.72,35.328,-139.248,42.822,-23.963,-166.224,94.371,-140.186,-37.113,188.081,-5.37,-119.993,79.918,16.558,-57.271,-33.235,222.907,110.355,-81.574,11.767,89.213,158.666,119.725,-68.389,-87.092,99.938,54.934,-33.24,-33.181,30.662
18,OBJ-18,FRAGMENT,Japan,3891.25,2006,38.588,-174.107,-220.935,-109.344,100.147,-17.146,131.547,5.945,-116.578,66.092,31.761,-29.283,-51.837,154.68,-125.744,-164.836,-63.096,17.589,-22.325,-87.43,101.319,37.168,-230.008,102.24,-70.773,-97.402,-43.156,174.99,-158.783,176.553,11.886,10.354,-75.006,-179.555,-217.461,-37.635,-75.235,76.956,81.997,-45.347,108.732,-152.477,-156.981,195.968
19,OBJ-19,PAYLOAD,France,28828.99,1979,106.76,-0.351,-216.548,86.243,77.064,-75.649,-65.711,125.428,-55.109,20.697,12.012,94.144,12.384,-80.225,-44.852,-32.77,-177.595,-136.364,226.419,-105.394,75.792,-247.123,60.452,170.362,33.896,28.603,-115.098,127.389,-42.131,210.763,62.346,97.069,-8.155,-115.446,-33.8,108.169,-14.021,65.094,35.764,-35.149,58.799,52.386,128.59,-62.812
20,OBJ-20,UNKNOWN,Other,6559.04,2000,84.833,-97.0,30.464,34.051,-82.046,35.175,33.769,39.568,-0.909,24.966,12.823,102.75,-53.897,-160.647,117.98,-3.267,167.289,138.903,5.517,72.677,-21.743,-176.52,-101.61,-90.005,167.495,-127.2,36.264,-33.772,70.593,-114.14,-5.179,-63.865,-42.648,70.002,-125.322,-103.157,-26.987,29.57,87.529,-7.528,-78.923,73.467,-97.667,38.137
21,OBJ-21,DEBRIS,Other,23554.42,1994,8.156,98.308,112.63,-43.859,76.267,-2.93,11.133,75.292,49.256,28.816,3.236,147.893,37.365,59.854,97.315,8.458,-28.276,111.573,23.057,-67.929,-87.805,-139.803,-18.43,-54.259,-62.171,-91.942,73.191,72.502,-7.587,-219.572,33.738,26.501,52.616,-32.536,149.377,83.032,18.953,-21.479,-74.795,-35.149,154.634,-71.571,-47.917,124.529
22,OBJ-22,FRAGMENT,China,8696.47,1979,130.656,-30.872,77.325,35.503,-81.479,-76.783,118.442,82.14,-45.866,49.534,217.609,10.271,132.069,27.987,9.562,7.234,-27.311,-15.635,-21.043,-20.339,-66.341,71.462,41.211,-242.331,-26.477,-183.182,-13.415,67.601,84.931,-57.398,-205.537,52.039,-4.637,-39.374,80.06,-71.496,-30.09,-6.828,26.508,36.953,181.46,84.351,55.889,106.653
23,OBJ-23,UNKNOWN,France,3723.98,2001,-90.451,-99.623,-80.098,-95.404,78.79,-71.585,38.28,-106.668,-52.854,-81.411,111.013,-5.597,-0.8,20.25,-6.891,43.752,74.253,-38.412,-242.823,170.795,141.059,-148.979,-63.065,-39.239,66.451,-66.04,-71.361,-37.907,-130.09,-3.693,167.071,100.452,-35.598,-96.447,15.142,45.716,141.843,30.107,78.853,-113.385,66.557,-91.528,14.452,-78.536
24,OBJ-24,PAYLOAD,China,8875.29,2008,-30.309,-6.154,150.642,11.026,-142.516,-81.447,-2.282,4.999,84.218,-27.49,29.539,-155.795,9.014,-104.783,-16.163,193.76,-72.556,-81.398,87.287,112.088,-127.55,47.014,-82.517,-3.555,-66.991,72.389,-47.797,-3.177,81.21,-4.152,-72.18,91.998,35.339,-40.026,-41.248,50.771,139.302,-47.324,-254.938,138.222,185.48,-133.126,36.451,87.311
25,OBJ-25,PAYLOAD,Russia,26046.05,2006,-87.764,127.07,-123.147,12.855,-9.368,-99.256,-54.169,-33.235,32.527,30.931,-80.021,106.488,79.783,77.515,23.631,-59.543,-21.593,178.938,166.053,137.62,49.082,-103.198,-30.718,43.431,-71.54,-2.337,163.934,53.752,24.905,-8.421,114.58,-80.004,-52.954,-38.541,42.353,68.823,-53.551,97.734,66.687,4.147,211.992,-105.488,-57.63,129.065
26,OBJ-26,ROCKET BODY,Other,30828.16,1964,78.249,63.082,130.748,-37.378,-82.089,93.403,34.087,104.385,44.867,16.349,-29.233,-46.031,118.724,-63.343,10.257,38.117,-75.194,78.396,125.572,-71.695,49.236,-14.648,-204.618,-53.094,-44.444,8.199,22.173,-73.034,-35.49,81.591,118.469,-11.578,49.133,49.06,-95.814,-100.809,141.763,-131.467,-36.053,135.316,-64.16,-82.794,-125.874,153.093
27,OBJ-27,ROCKET BODY,India,29915.08,1957,-58.264,21.992,-109.923,-83.529,86.994,79.939,-34.818,46.323,152.832,-46.12,161.579,3.394,-45.264,20.206,32.414,130.13,-175.503,-75.841,-55.808,-277.142,146.806,-6.26,-103.369,73.64,88.088,-0.195,101.339,-24.06,107.035,-40.281,-179.832,-52.321,32.639,-24.463,28.133,31.643,-157.983,-77.684,-2.366,-118.358,-91.096,78.881,21.614,156.852
28,OBJ-28,DEBRIS,UK,14395.06,1964,-17.125,-132.61,-35.182,7.025,111.517,93.567,22.068,-18.821,-50.507,41.66,-56.294,-3.283,17.234,-45.957,50.179,-179.864,5.076,109.927,-17.321,-39.552,48.956,-16.145,-104.814,66.634,-176.821,-128.482,-80.309,-19.768,24.002,21.335,5.608,14.296,28.524,127.65,-12.327,2.509,-74.213,-92.563,125.255,-118.001,74.319,55.68,-88.042,-110.022
29,OBJ-29,UNKNOWN,Germany,24104.17,1985,61.767,162.16,63.927,-5.498,19.9,0.45,-7.597,-128.185,-4.902,-77.114,-16.573,-239.465,80.226,35.438,-121.111,26.813,102.573,133.915,34.919,-143.995,-42.322,-64.665,-23.585,-47.357,-84.748,-40.876,121.025,-26.968,-98.421,64.468,40.533,-143.756,-35.795,-65.495,-81.677,125.442,69.242,45.76,109.156,107.935,-314.089,-91.526,52.045,23.97
30,OBJ-30,UNKNOWN,France,7506.64,1961,69.825,-62.163,-146.621,-46.582,16.611,-24.263,-37.249,-159.691,55.116,-122.301,-22.14,-81.146,32.995,-119.513,-31.027,-168.038,7.929,-2.121,31.394,-194.405,-40.748,-156.637,-94.716,-95.843,153.089,22.098,89.469,-30.903,98.187,21.942,10.98,-158.99,-62.961,20.443,69.546,-64.015,15.748,-120.024,-57.908,-64.733,-22.153,-67.316,-89.165,-69.035
31,OBJ-31,ROCKET BODY,USA,10666.41,2003,-90.713,93.378,146.902,-103.381,70.418,-22.438,-97.274,31.034,-87.151,29.499,36.789,45.388,-186.209,49.968,19.791,218.558,91.979,-34.435,68.097,112.867,-0.578,2.683,-51.582,6.591,-309.916,96.956,-10.241,44.218,-24.171,67.571,-0.094,238.564,80.871,-165.577,188.581,-130.619,21.459,-91.708,-168.776,-99.684,-65.906,176.967,-14.947,-130.636
32,OBJ-32,UNKNOWN,China,32284.68,1990,105.666,-32.536,-35.794,1.248,112.111,102.11,51.42,-71.721,22.905,-119.849,-43.665,-4.859,98.273,65.759,-96.584,52.205,-109.579,-99.308,20.306,-89.185,113.267,55.765,-44.496,9.932,-12.737,36.36,60.894,2.649,3.695,-170.793,-43.581,193.535,61.405,65.899,-142.834,-164.533,44.828,42.438,-7.664,116.407,-18.912,81.834,171.598,47.86
33,OBJ-33,UNKNOWN,Germany,625.99,2021,45.569,83.751,13.728,-46.332,3.731,-182.015,4.257,66.613,2.22,28.012,17.686,46.182,52.288,11.598,-67.382,38.709,-75.404,70.743,-36.133,-80.656,80.652,67.921,212.769,-60.774,152.993,88.061,129.393,63.934,-86.329,11.449,-71.384,116.591,-100.799,-142.079,94.47,-28.568,-41.34,-86.884,106.254,-81.211,-122.724,-141.069,21.834,20.107
34,OBJ-34,PAYLOAD,USA,3224.63,2011,-108.17,130.687,116.22,-103.466,-49.968,-51.449,178.742,-164.314,277.73,-195.468,-41.432,78.385,59.395,164.39,-21.79,-187.337,-129.43,-42.708,13.695,-36.576,-108.571,8.179,76.957,-25.921,190.999,-108.624,-110.802,252.013,-5.168,22.979,105.804,48.422,-43.283,57.003,-80.737,-42.687,132.365,83.822,131.444,-1.876,-15.263,132.653,-79.988,17.089
