object_type,country,altitude_km,launch_year_estimate,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
FRAGMENT,Other,21659.8,1973,401.5,250.263,169.303,88.685,360.576,5.741,109.05,317.751,958.247,99.481,635.242,446.179,266.969,278.931,955.432,586.025,201.396,35.494,362.147,281.242,845.552,801.229,357.992,687.063,618.75,390.758,996.194,344.371,445.554,32.102,322.69,456.987,638.441,939.134,636.879,473.93,104.533,461.979,971.543,203.77,89.534,286.16,830.134,245.085,351.583,574.725
PAYLOAD,India,35358.68,2023,607.81,926.584,607.98,328.838,982.105,266.17,988.925,161.976,235.609,560.863,623.173,967.184,62.521,879.694,325.909,935.497,438.203,682.49,460.097,6.805,869.581,18.853,334.857,263.952,956.302,286.83,463.81,183.435,64.474,497.718,77.931,476.222,343.054,20.676,803.296,550.225,338.542,435.525,202.317,529.071,201.339,518.05,204.412,117.306,527.895,681.777
SATELLITE,Japan,8334.09,2004,696.884,398.056,116.617,916.961,871.529,435.386,810.75,220.364,843.306,784.316,862.385,789.561,632.452,98.393,293.032,449.95,29.889,224.929,545.192,668.287,45.693,108.403,756.826,66.95,885.028,811.759,813.121,369.939,27.984,530.737,322.025,723.032,353.618,305.246,320.141,679.485,204.968,757.758,995.334,813.281,24.911,627.151,878.078,410.104,133.16,318.259
FRAGMENT,Other,27854.55,1971,738.358,357.688,576.427,991.386,865.777,397.984,659.159,823.398,379.89,641.961,953.963,113.353,935.753,946.679,633.642,891.961,860.862,141.539,929.943,315.547,985.98,360.432,674.097,275.78,483.244,321.229,698.308,369.846,642.69,776.917,507.135,53.177,820.071,972.253,304.402,714.668,73.621,998.616,982.931,444.897,881.663,207.255,469.412,826.205,889.209,223.436
ROCKET BODY,India,25339.42,1982,874.752,16.518,657.446,302.583,396.884,736.543,750.79,26.56,388.398,235.522,873.898,429.137,419.099,661.056,622.036,256.542,463.243,547.51,855.131,407.508,942.794,313.805,438.447,762.412,348.264,254.971,994.238,524.962,763.533,307.889,490.307,153.391,779.573,937.091,636.51,454.129,167.468,775.46,92.065,725.459,357.604,531.249,797.568,788.045,892.038,186.824
FRAGMENT,Russia,21613.05,2001,966.481,192.866,761.937,48.892,90.871,801.88,396.176,468.965,990.693,109.083,660.88,638.548,358.997,25.666,751.112,278.463,516.651,79.407,597.205,236.366,784.059,109.861,230.977,846.26,661.761,223.811,777.779,333.593,480.69,588.498,182.06,386.411,65.303,417.262,727.696,537.4,513.675,470.627,729.943,23.942,653.667,126.078,6.439,556.206,707.939,3.664
DEBRIS,USA,34528.91,2011,502.3,790.804,556.909,317.879,472.146,403.821,893.483,84.113,744.79,526.77,542.658,586.414,714.369,908.814,213.661,904.765,907.624,633.576,825.168,428.189,82.671,757.169,822.046,721.708,844.652,19.483,306.094,259.93,373.729,324.608,790.484,472.234,324.146,837.688,655.517,604.947,323.528,345.015,773.704,354.893,946.373,252.96,51.036,93.177,395.508,175.834
FRAGMENT,China,18785.33,1964,646.672,390.872,199.074,581.648,290.366,616.118,455.259,562.171,812.35,774.539,291.705,402.482,713.348,72.405,205.529,195.181,807.162,988.495,225.574,750.662,204.64,615.682,201.486,483.503,693.053,486.102,530.414,695.147,798.083,223.385,413.98,259.957,548.704,68.088,93.707,248.726,245.095,925.584,993.539,98.451,747.958,923.711,38.066,793.749,205.195,631.373
FRAGMENT,USA,5877.59,2023,821.932,111.599,157.236,960.206,588.397,885.573,658.358,316.514,469.855,839.109,301.286,531.216,754.801,242.807,498.989,586.923,718.952,734.134,908.042,537.039,439.375,539.607,15.78,931.08,69.166,920.08,687.707,690.757,318.884,323.682,675.316,845.624,888.868,179.995,522.146,9.182,411.759,660.148,402.712,47.109,781.155,319.749,781.633,906.456,722.434,472.379
PAYLOAD,Other,1966.7,1996,101.258,401.304,798.682,758.941,664.036,339.865,679.4,646.794,985.878,623.163,877.962,920.097,236.824,554.002,215.825,429.137,506.559,165.955,457.719,892.843,988.479,171.377,991.023,305.635,570.399,711.505,602.728,512.943,731.213,236.47,624.328,434.889,100.383,875.091,708.772,889.528,469.147,937.58,820.043,25.974,266.941,777.407,532.895,8.891,482.932,659.068
ROCKET BODY,Japan,31823.57,1968,93.684,351.958,633.67,825.137,924.14,903.453,666.775,8.429,582.492,354.889,815.519,601.143,139.449,749.627,68.123,631.977,467.27,696.721,274.185,72.168,348.115,845.734,115.538,729.035,121.073,128.483,463.645,611.507,156.653,708.549,528.725,47.726,964.708,170.277,535.785,853.392,121.3,906.472,539.138,225.397,465.372,475.855,229.784,341.41,59.344,928.286
DEBRIS,Japan,9016.98,1984,198.824,192.269,815.419,384.697,471.036,373.118,709.297,92.292,884.761,148.597,131.99,808.512,886.675,492.098,392.741,38.171,570.635,372.563,982.535,642.038,688.05,286.356,753.493,593.923,186.904,63.174,15.734,301.765,804.135,386.746,209.637,178.92,45.083,807.004,780.375,164.612,563.074,434.852,727.44,497.531,387.066,589.285,194.571,164.535,757.445,288.709
ROCKET BODY,Russia,18833.55,1986,674.151,4.866,541.487,836.897,65.824,462.083,441.771,398.647,248.789,674.032,843.177,175.487,261.992,676.907,449.37,766.42,377.281,754.396,704.836,217.497,711.746,624.779,691.968,450.323,206.184,379.633,423.702,768.786,452.476,749.951,686.237,436.097,104.733,872.234,263.75,799.012,1.735,436.69,838.701,468.574,990.202,155.711,610.978,575.207,336.624,484.032
SATELLITE,Russia,31919.53,1980,443.721,44.136,976.337,719.733,85.494,395.612,993.861,818.577,571.99,531.86,276.362,235.467,2.029,70.689,405.505,994.395,176.087,936.014,473.716,422.18,916.699,228.494,267.024,318.607,125.354,695.779,743.215,990.305,0.26,400.735,773.557,943.012,68.6,283.03,796.213,100.037,971.251,112.284,900.144,978.113,736.751,259.996,649.901,697.019,237.797,179.569
FRAGMENT,Russia,15734.35,1973,44.324,336.742,303.156,41.605,433.175,465.974,472.458,527.173,806.043,950.881,265.984,120.888,279.821,891.645,255.845,840.213,620.749,145.833,457.193,125.382,875.06,939.704,157.969,595.182,812.493,774.472,844.099,87.754,31.278,737.052,415.213,597.506,347.891,736.9,569.174,625.945,128.815,491.081,417.821,981.287,794.226,819.933,880.883,949.001,287.382,606.191
DEBRIS,ESA,649.22,1964,525.21,463.369,693.287,11.99,964.13,922.618,882.415,833.766,505.266,112.813,686.881,528.428,641.65,675.197,383.607,537.234,624.847,976.689,899.93,860.031,225.53,769.009,199.371,711.422,547.577,589.793,658.251,100.771,622.551,818.912,336.995,949.015,821.581,618.326,840.381,769.008,800.408,39.925,660.562,646.8,613.872,697.561,520.407,882.191,830.165,105.082
ROCKET BODY,India,1055.26,1984,30.592,155.337,398.107,902.606,471.179,17.082,257.356,236.587,743.92,844.644,770.446,438.825,920.27,137.228,603.661,496.086,722.07,23.338,212.916,176.663,720.06,960.227,728.322,937.286,365.838,685.782,666.289,963.614,923.833,724.675,376.094,279.239,417.853,895.846,659.065,607.339,19.005,27.85,7.134,613.079,978.989,803.418,191.312,402.111,663.836,423.304
SATELLITE,Other,19434.88,2001,730.958,65.148,462.941,171.811,150.174,482.499,249.644,217.541,614.088,172.532,330.391,594.685,717.816,474.115,193.319,464.251,678.03,400.323,458.83,834.837,588.901,85.77,713.188,128.99,247.864,828.815,140.836,308.019,666.048,282.341,156.862,166.187,60.196,740.479,559.684,550.241,569.615,876.573,215.5,810.102,188.706,56.593,722.171,729.22,624.148,536.084
DEBRIS,Japan,32922.16,2013,82.813,778.398,913.49,980.413,439.696,253.631,895.079,55.355,590.758,293.45,674.101,111.123,171.844,702.726,335.864,312.18,999.268,555.655,76.513,168.371,432.697,194.525,347.557,246.104,727.855,498.208,195.666,355.555,569.081,418.75,204.107,905.827,909.079,297.441,86.138,230.172,825.174,288.965,354.505,959.979,547.635,741.644,404.994,4.499,756.636,519.67
SATELLITE,ESA,9643.77,2001,701.633,627.275,882.602,619.981,122.259,534.907,737.917,289.619,499.09,222.173,187.956,547.348,988.482,149.138,893.054,512.669,906.034,3.667,864.823,336.835,554.365,917.871,149.506,963.002,807.696,427.464,853.112,748.076,660.886,671.021,59.879,196.507,659.322,109.469,14.982,956.513,983.094,490.744,775.647,496.515,126.025,555.214,561.91,866.846,36.039,511.433
