id,country,object_type,launch_year,altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43
1,Germany,Debris,1995,23318.61,GEO,Active,166.6,776.88,787.95,537.24,213.9,344.06,681.6,932.74,783.05,412.12,189.03,372.05,782.5,758.98,850.66,102.51,121.91,103.77,939.72,468.23,895.65,786.19,846.14,559.21,613.03,801.01,887.64,170.33,774.58,8.61,946.2,225.39,671.43,909.83,111.64,589.79,90.35,512.42,861.68,171.96,935.56,215.37,298.8
2,Canada,Rocket Body,1970,20665.32,GEO,Inactive,381.77,255.31,701.2,401.81,758.83,964.63,397.58,67.86,235.21,997.38,976.86,900.24,344.71,282.44,576.75,561.53,343.14,963.26,564.98,46.32,536.49,82.36,277.38,95.82,277.56,606.06,303.27,632.41,454.46,929.21,754.55,395.96,764.43,973.39,406.8,663.5,56.42,615.07,698.03,58.81,702.36,448.77,180.92
3,Israel,Payload,1973,20900.29,GEO,Active,513.8,956.24,227.33,213.16,301.21,154.12,229.37,970.53,804.98,970.23,103.22,645.62,145.77,154.05,49.03,740.25,455.14,717.5,228.8,201.06,813.75,160.39,932.9,157.16,797.01,737.81,226.48,56.35,664.6,389.14,732.25,452.0,214.97,159.8,734.42,749.15,579.19,581.51,381.7,81.59,837.82,870.3,318.02
4,United Kingdom,Payload,1967,18625.04,MEO,Inactive,649.0,748.46,426.66,36.54,272.24,441.65,604.02,535.28,408.45,768.45,621.51,106.88,527.83,8.95,592.42,666.48,608.37,698.19,880.62,180.0,304.06,328.99,622.88,131.93,913.56,285.63,780.55,504.11,271.18,336.7,408.31,485.88,938.96,271.58,43.31,931.01,985.28,632.96,658.09,222.68,520.02,316.79,511.14
5,Russia,Rocket Body,2008,21334.48,GEO,Active,327.2,448.99,288.14,344.79,411.45,133.54,567.77,890.32,742.29,691.17,261.93,151.3,356.99,863.32,864.7,712.73,345.22,300.14,806.37,562.72,88.98,18.39,388.9,119.77,704.72,89.28,447.84,28.24,625.76,920.35,442.66,0.33,163.02,287.44,770.15,19.78,630.74,423.27,775.02,463.24,139.06,951.6,251.72
6,China,Debris,2003,12873.67,MEO,Active,680.5,571.81,91.7,261.31,195.27,325.69,705.77,807.0,468.72,633.2,250.48,704.97,592.19,506.79,538.03,733.26,707.2,115.3,650.16,798.41,434.63,489.46,227.24,586.79,259.14,955.06,590.06,350.94,516.73,187.45,365.62,781.56,945.41,588.22,231.32,512.03,598.72,7.63,91.87,489.07,301.34,719.33,448.58
7,Italy,Rocket Body,1986,16427.02,MEO,Inactive,440.68,276.15,312.53,37.05,252.36,418.21,148.95,275.71,321.98,867.49,440.07,684.36,887.67,74.52,170.53,75.59,74.78,947.73,694.66,599.48,450.57,860.89,207.21,774.69,156.88,935.21,742.98,45.06,697.25,370.27,908.45,17.29,973.46,569.22,664.79,288.83,338.37,921.82,907.34,311.34,500.19,983.11,183.32
8,Australia,Rocket Body,2016,5274.36,MEO,Active,231.75,686.86,457.15,862.67,962.98,0.47,512.67,608.37,211.13,315.36,939.22,129.51,88.88,138.36,98.23,836.14,588.77,372.74,365.72,411.63,861.35,553.48,466.09,863.38,673.96,442.61,765.74,12.45,103.6,516.57,188.57,88.82,326.97,953.31,160.35,65.58,763.91,536.1,821.84,153.53,604.44,754.33,976.22
9,Germany,Payload,1983,24645.39,GEO,Active,456.52,715.39,514.36,165.26,244.61,97.3,177.63,539.63,944.3,521.2,584.81,145.04,502.8,937.47,756.88,990.74,188.71,865.25,119.46,489.85,114.67,605.72,747.74,847.92,191.15,337.58,463.31,162.66,463.77,37.51,504.73,432.87,19.7,231.55,965.84,915.41,135.28,126.78,878.59,743.96,427.65,945.58,772.42
10,Germany,Debris,2007,21300.15,GEO,Inactive,667.2,683.19,688.96,718.67,185.31,939.24,275.33,294.48,428.86,326.0,402.55,738.09,750.59,231.09,641.69,898.03,94.71,792.95,302.35,918.3,797.0,275.4,746.34,725.66,415.82,80.36,38.9,578.35,719.85,486.1,498.05,914.08,61.91,832.46,183.9,600.22,377.08,914.71,849.97,25.2,775.76,371.19,847.51
