id,country,object_type,launch_year,growth_year,altitude_km,min_altitude_km,max_altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40
1,Brazil,Payload,1997,1997,9844.85,9795.55,9872.32,MEO,Active,701.07,473.93,28.14,776.8,203.19,721.35,713.24,603.22,178.55,868.4,986.22,920.93,353.26,139.21,704.16,422.63,928.05,433.27,932.31,506.82,278.48,782.97,658.44,412.96,257.85,529.36,789.9,198.36,454.26,128.51,282.83,864.21,992.11,387.76,8.9,725.42,593.76,885.49,149.29,494.74
2,Australia,Payload,2023,2023,1651.51,1636.99,1698.61,LEO,Inactive,340.73,120.21,133.24,692.16,793.19,900.32,802.53,902.65,827.64,267.15,350.68,545.51,504.59,599.52,600.48,738.01,292.96,81.48,337.59,216.35,461.98,917.12,162.68,783.83,873.02,502.95,900.44,739.94,128.06,125.91,971.81,104.88,949.92,560.04,772.25,975.77,893.52,71.34,13.07,151.17
3,Italy,Debris,2015,2015,19767.92,19724.26,19774.61,MEO,Inactive,240.98,73.75,209.69,306.67,741.94,951.4,848.38,545.57,229.66,847.21,372.48,608.56,729.8,403.9,584.86,881.17,794.97,916.64,597.96,159.81,440.7,574.52,5.57,194.25,572.7,790.97,274.71,645.34,339.55,734.68,528.94,243.12,297.82,260.98,663.08,856.0,872.2,134.62,649.93,932.12
4,Canada,Payload,2000,2000,31248.69,31207.86,31251.23,GEO,Active,50.53,806.44,750.17,162.52,850.54,790.0,435.3,799.18,29.42,977.73,402.88,100.56,926.07,867.7,429.27,78.44,149.81,982.04,463.33,940.49,35.1,444.44,874.12,767.8,836.19,425.14,119.62,97.07,557.97,981.97,717.23,486.2,497.26,908.07,698.25,608.37,522.87,309.09,189.49,992.65
5,Australia,Payload,1994,1994,35233.89,35195.34,35268.15,GEO,Active,627.99,193.6,435.47,938.2,742.34,135.08,273.07,943.82,948.5,763.45,377.36,47.62,378.54,454.92,274.59,66.03,683.5,878.04,808.46,983.43,479.19,801.1,60.16,82.09,852.34,903.28,334.87,711.52,406.76,967.37,796.96,2.66,960.16,579.29,6.19,845.28,889.67,925.49,52.32,302.11
6,Japan,Debris,2016,2016,2245.53,2221.0,2257.28,MEO,Active,325.87,598.28,463.63,387.93,913.19,354.94,100.63,442.73,90.3,921.06,77.31,506.45,494.43,789.17,483.43,399.98,181.61,870.99,845.08,9.74,370.73,661.29,395.56,15.04,241.93,311.83,302.03,251.81,323.54,318.89,914.65,597.89,318.92,723.7,453.75,932.74,105.65,330.46,682.41,244.74
7,Brazil,Payload,2015,2015,19695.42,19675.8,19726.45,MEO,Inactive,6.22,449.91,826.93,782.22,812.18,717.77,81.0,348.4,274.18,953.72,289.07,320.08,151.37,666.75,5.37,257.27,30.94,920.94,761.38,786.45,556.99,596.23,383.84,70.69,480.57,285.42,629.47,977.6,563.2,553.96,60.34,564.76,116.06,937.17,883.25,256.69,374.31,363.26,836.01,189.58
8,Italy,Debris,2017,2017,35549.2,35540.97,35590.75,GEO,Active,423.02,189.53,950.17,185.12,376.01,359.57,852.67,819.23,645.2,224.18,942.45,28.62,795.28,917.77,954.76,769.44,364.03,274.25,598.91,582.62,0.27,510.6,452.52,855.05,247.1,431.78,291.19,134.71,230.99,773.14,546.66,691.87,929.38,398.48,706.08,442.5,728.83,893.14,799.41,316.13
9,Russia,Debris,1996,1996,6318.28,6287.48,6322.94,MEO,Inactive,815.7,659.85,446.77,26.77,445.73,290.31,811.23,551.04,109.12,604.53,969.91,369.91,39.01,729.96,195.39,120.06,48.32,568.46,285.77,895.32,642.97,867.25,126.16,302.41,52.37,447.05,891.24,211.5,992.41,299.44,561.9,208.83,399.1,361.76,730.18,666.03,531.94,583.43,296.86,649.99
10,United States,Debris,1993,1993,26537.34,26489.59,26544.56,GEO,Inactive,111.3,654.83,129.76,231.68,284.18,602.99,644.39,131.9,563.46,224.64,344.22,316.34,707.81,284.37,786.15,559.27,811.42,141.54,618.02,159.16,318.51,129.45,46.62,402.18,536.62,444.29,964.42,286.03,912.07,162.55,810.45,884.45,307.06,262.92,462.98,603.45,621.2,946.3,89.79,378.94
