id,country,object_type,launch_year,altitude_km,orbit_type,status
1,China,Payload,1985,25141.22,GEO,Inactive
2,China,Payload,1990,1085.85,LEO,Inactive
3,United Kingdom,Debris,1964,29498.89,GEO,Active
4,Canada,Debris,2018,30727.75,GEO,Inactive
5,UAE,Rocket Body,1962,35636.46,GEO,Active
6,United States,Payload,2022,31847.77,GEO,Active
7,Australia,Payload,1966,11877.68,MEO,Inactive
8,Canada,Payload,2007,24758.91,GEO,Active
9,South Korea,Payload,1984,29529.85,GEO,Active
10,United Kingdom,Payload,1962,5993.28,MEO,Inactive
11,Israel,Payload,2018,22098.78,GEO,Inactive
12,Italy,Debris,2005,2065.11,MEO,Active
13,United Kingdom,Debris,1994,11019.9,MEO,Active
14,UAE,Rocket Body,1965,21123.16,GEO,Active
15,United Kingdom,Payload,1962,7732.2,MEO,Active
16,South Korea,Payload,1992,23026.37,GEO,Inactive
17,Germany,Debris,1961,31136.24,GEO,Active
18,UAE,Rocket Body,1984,3250.17,MEO,Active
19,Israel,Payload,2011,7598.3,MEO,Inactive
20,UAE,Debris,2006,15062.79,MEO,Inactive
21,China,Payload,2004,27624.57,GEO,Inactive
22,Israel,Debris,1977,4936.03,MEO,Active
23,United States,Payload,1984,8082.95,MEO,Active
24,Germany,Payload,1996,14308.71,MEO,Active
25,China,Payload,1977,21757.3,GEO,Inactive
26,Brazil,Debris,2016,16391.55,MEO,Active
27,Canada,Payload,1965,15084.08,MEO,Active
28,Russia,Payload,1978,24384.54,GEO,Active
29,China,Debris,1980,610.36,LEO,Inactive
30,Canada,Payload,1992,28972.77,GEO,Active
31,Israel,Debris,2016,13313.52,MEO,Inactive
32,Israel,Payload,1990,20891.74,GEO,Active
33,UAE,Payload,1969,403.0,LEO,Active
34,France,Payload,1984,6395.28,MEO,Active
35,Russia,Debris,2017,3036.44,MEO,Active
36,France,Payload,2022,3010.5,MEO,Active
37,India,Payload,2004,15304.95,MEO,Inactive
38,South Korea,Payload,1977,20751.37,GEO,Active
39,Brazil,Payload,1969,18092.96,MEO,Active
40,Brazil,Payload,1977,14256.06,MEO,Active
41,China,Rocket Body,1986,27229.71,GEO,Inactive
42,France,Debris,1992,16551.12,MEO,Active
43,Israel,Debris,1988,32850.12,GEO,Inactive
44,France,Payload,1982,17637.23,MEO,Active
45,United States,Payload,1962,20177.36,GEO,Inactive
46,India,Payload,2001,14174.36,MEO,Inactive
47,France,Payload,2020,4664.56,MEO,Active
48,Germany,Debris,1999,11031.72,MEO,Active
49,United States,Rocket Body,1982,22247.35,GEO,Active
50,Canada,Debris,2016,12455.27,MEO,Inactive
51,Italy,Debris,1977,34666.21,GEO,Active
52,India,Payload,1972,2867.08,MEO,Active
53,China,Debris,2000,11411.13,MEO,Active
54,Italy,Payload,2025,33607.8,GEO,Inactive
55,Australia,Payload,1967,3326.14,MEO,Active
56,Canada,Payload,2017,24325.76,GEO,Inactive
57,Germany,Payload,2008,7791.18,MEO,Inactive
58,India,Payload,1978,12333.59,MEO,Active
59,Italy,Debris,1994,25960.91,GEO,Active
60,South Korea,Payload,2015,8684.91,MEO,Active
61,Russia,Payload,1990,28011.58,GEO,Active
62,India,Rocket Body,1980,9585.52,MEO,Active
63,United Kingdom,Payload,2002,25205.05,GEO,Inactive
64,Brazil,Payload,2011,29943.88,GEO,Inactive
65,Russia,Payload,2009,28669.83,GEO,Active
66,Japan,Debris,1998,8615.29,MEO,Inactive
67,Russia,Debris,1993,22978.63,GEO,Active
68,Japan,Payload,2012,23699.95,GEO,Inactive
69,South Korea,Debris,1963,21642.98,GEO,Active
70,Italy,Payload,1992,1692.98,LEO,Active
71,India,Debris,2024,13960.23,MEO,Inactive
72,India,Rocket Body,2020,16110.86,MEO,Inactive
73,India,Rocket Body,1978,18561.72,MEO,Active
74,South Korea,Payload,1990,34602.28,GEO,Active
75,South Korea,Payload,2007,4027.87,MEO,Active
76,Germany,Debris,1998,35692.32,GEO,Active
77,Russia,Debris,1995,24931.37,GEO,Inactive
78,Brazil,Payload,1982,34755.42,GEO,Active
79,United States,Payload,1994,11216.21,MEO,Active
80,South Korea,Debris,1966,22582.76,GEO,Active
81,Canada,Payload,1960,2443.84,MEO,Active
82,UAE,Payload,1981,28843.28,GEO,Inactive
83,United States,Debris,2010,26555.36,GEO,Active
84,Italy,Rocket Body,1998,8063.82,MEO,Active
85,Russia,Payload,1964,8318.03,MEO,Inactive
86,United States,Debris,1971,23861.37,GEO,Active
87,France,Payload,2011,35541.87,GEO,Active
88,South Korea,Debris,1963,3863.41,MEO,Inactive
89,China,Payload,1974,19882.82,MEO,Active
90,Canada,Debris,1980,8627.96,MEO,Inactive
91,Israel,Payload,1993,14647.6,MEO,Active
92,Australia,Debris,2014,32768.34,GEO,Inactive
93,Israel,Rocket Body,1981,34180.12,GEO,Active
94,Israel,Payload,2008,9348.03,MEO,Inactive
95,South Korea,Payload,2005,9037.06,MEO,Inactive
96,Japan,Debris,1974,3559.44,MEO,Inactive
97,UAE,Debris,2005,35850.48,GEO,Active
98,Japan,Payload,1967,27844.54,GEO,Active
99,Germany,Debris,1975,34942.48,GEO,Inactive
100,UAE,Rocket Body,1991,35226.14,GEO,Inactive
101,UAE,Debris,1982,10212.7,MEO,Active
102,Israel,Debris,2016,19272.38,MEO,Active
103,China,Debris,1992,9463.27,MEO,Active
104,United States,Debris,2021,34845.66,GEO,Active
105,France,Payload,1987,5289.54,MEO,Inactive
106,South Korea,Payload,1983,25835.21,GEO,Active
107,Brazil,Payload,2022,11096.04,MEO,Inactive
108,United States,Payload,1969,34538.38,GEO,Active
109,India,Rocket Body,1969,22251.76,GEO,Active
110,Israel,Debris,1963,7384.84,MEO,Active
111,Italy,Debris,2002,33546.99,GEO,Inactive
112,Japan,Debris,1982,14542.21,MEO,Active
113,Italy,Payload,1991,2959.26,MEO,Inactive
114,France,Payload,1963,29059.02,GEO,Inactive
115,United Kingdom,Payload,1974,4503.52,MEO,Inactive
116,United Kingdom,Payload,1995,14267.71,MEO,Active
117,South Korea,Payload,2012,25797.63,GEO,Active
118,Italy,Payload,1978,11831.03,MEO,Active
119,Russia,Payload,2005,22856.5,GEO,Inactive
120,Germany,Payload,1988,13490.05,MEO,Active
121,United Kingdom,Payload,1969,2582.8,MEO,Inactive
122,Brazil,Payload,2018,3243.25,MEO,Active
123,Brazil,Debris,1998,21789.04,GEO,Inactive
124,UAE,Payload,1962,32500.5,GEO,Active
125,India,Payload,1987,2132.34,MEO,Inactive
126,Brazil,Debris,1985,22472.01,GEO,Active
127,United Kingdom,Debris,2017,32343.69,GEO,Active
128,Australia,Payload,2022,3026.52,MEO,Active
129,Italy,Payload,1968,25143.33,GEO,Active
130,Israel,Payload,1983,29612.68,GEO,Inactive
131,Russia,Debris,1990,14338.52,MEO,Active
132,Australia,Payload,1975,15603.33,MEO,Active
133,Italy,Debris,1979,18948.85,MEO,Active
134,Germany,Debris,1987,18452.24,MEO,Inactive
135,Russia,Debris,1999,1130.77,LEO,Active
136,South Korea,Payload,2013,34365.17,GEO,Active
137,China,Rocket Body,1993,270.69,LEO,Active
138,Brazil,Payload,2014,25601.09,GEO,Active
139,Canada,Debris,1983,35823.78,GEO,Active
140,India,Debris,1981,22344.6,GEO,Inactive
141,Italy,Payload,1966,22203.41,GEO,Active
142,Italy,Debris,2022,3466.13,MEO,Active
143,Brazil,Rocket Body,1981,4157.97,MEO,Active
144,Germany,Debris,1977,7451.86,MEO,Active
145,Australia,Debris,2017,30529.07,GEO,Active
146,China,Debris,1974,5811.2,MEO,Active
147,Russia,Debris,1974,24576.76,GEO,Inactive
148,Russia,Payload,1974,27072.08,GEO,Active
149,Germany,Payload,2025,28459.97,GEO,Active
150,Australia,Payload,1977,16247.52,MEO,Active
151,Canada,Payload,1974,229.95,LEO,Inactive
152,Israel,Debris,2006,220.86,LEO,Active
153,United Kingdom,Debris,1978,19905.28,MEO,Inactive
154,India,Payload,1969,22606.2,GEO,Active
155,Italy,Payload,2013,27484.12,GEO,Inactive
156,China,Debris,1974,18808.67,MEO,Active
157,China,Debris,1964,6051.32,MEO,Active
158,United States,Rocket Body,1967,17901.53,MEO,Active
159,South Korea,Payload,2001,26129.54,GEO,Inactive
160,United Kingdom,Debris,2021,31723.21,GEO,Active
161,France,Debris,1961,16600.29,MEO,Inactive
162,Canada,Payload,1969,8068.54,MEO,Active
163,Israel,Debris,1980,20244.78,GEO,Active
164,Israel,Debris,2024,10396.05,MEO,Inactive
165,South Korea,Debris,1982,7062.53,MEO,Inactive
166,United States,Debris,2016,1412.5,LEO,Active
167,Germany,Payload,1975,11509.68,MEO,Active
168,UAE,Payload,2007,2519.21,MEO,Active
169,China,Debris,2015,31518.13,GEO,Inactive
170,UAE,Debris,2012,29751.86,GEO,Active
171,Israel,Debris,2022,30387.83,GEO,Inactive
172,Australia,Debris,2004,31016.04,GEO,Active
173,Italy,Payload,1968,16047.26,MEO,Active
174,Brazil,Debris,2020,33160.61,GEO,Inactive
175,UAE,Payload,2003,21302.27,GEO,Active
176,Italy,Payload,1976,13785.93,MEO,Active
177,Russia,Payload,1995,21037.6,GEO,Active
178,India,Debris,2024,11181.27,MEO,Active
179,Italy,Payload,1998,8765.4,MEO,Inactive
180,Australia,Debris,1984,34807.18,GEO,Active
181,UAE,Payload,1998,14536.6,MEO,Inactive
182,India,Debris,1989,32657.6,GEO,Inactive
183,France,Payload,1960,22781.95,GEO,Active
184,United Kingdom,Payload,1987,30412.53,GEO,Active
185,Brazil,Payload,2015,14804.33,MEO,Active
186,France,Payload,2010,12775.43,MEO,Inactive
187,South Korea,Debris,1971,24335.49,GEO,Inactive
188,Israel,Payload,1983,32847.0,GEO,Active
189,France,Rocket Body,1973,24332.55,GEO,Active
190,Japan,Debris,1979,20448.81,GEO,Active
191,South Korea,Payload,2004,17647.46,MEO,Active
192,Japan,Debris,2018,30079.83,GEO,Active
193,Israel,Payload,2014,16371.83,MEO,Active
194,Russia,Debris,2004,6053.15,MEO,Inactive
195,Japan,Debris,1982,18366.11,MEO,Active
196,India,Debris,1995,22954.21,GEO,Inactive
197,China,Rocket Body,1973,22913.91,GEO,Active
198,South Korea,Debris,1962,7112.54,MEO,Inactive
